Language1,Language2,CompSci,Physics,Chemistry,Maths,Biology,economics,commerce,accountancy,Course
95,95,96,92,80,90,0,0,0,0,computer_engineering
90,90,98,94,90,95,0,0,0,0,computer_engineering
88,92,100,80,92,99,0,0,0,0,computer_engineering
50,50,45,94,98,90,0,0,0,0,mechanical_engineering
35,45,50,90,95,80,0,0,0,0,mechanical_engineering
60,70,60,92,96,100,0,0,0,0,mechanical_engineering
45,45,60,60,45,42,0,0,0,0,ba_drawing_and_painting
35,45,54,55,39,40,0,0,0,0,ba_drawing_and_painting
35,35,50,50,50,35,0,0,0,0,ba_drawing_and_painting
99,96,70,75,88,70,0,0,0,0,ba_punjabi
95,97,60,65,69,68,0,0,0,0,ba_punjabi
78,98,75,78,92,75,0,0,0,0,ba_punjabi
99,95,92,73,79,60,0,0,0,0,ba_gujarati
99,98,97,95,94,98,0,0,0,0,ba_gujarati
95,95,80,80,81,70,0,0,0,0,ba_gujarati
40,45,0,96,80,89,98,0,0,0,bsc_nursing
35,40,0,98,89,95,99,0,0,0,bsc_nursing
50,50,0,80,85,90,94,0,0,0,bsc_nursing
40,50,0,98,50,50,60,0,0,0,bsc_physics
45,55,0,70,40,50,68,0,0,0,bsc_physics
35,45,0,55,39,40,54,0,0,0,bsc_physics
50,51,0,72,83,75,64,0,0,0,environmental_engineering
45,35,0,67,78,70,59,0,0,0,environmental_engineering
48,45,0,75,75,74,64,0,0,0,environmental_engineering
98,93,95,0,0,0,0,84,95,95,bba
95,98,97,0,0,0,0,80,99,100,bba
93,94,85,0,0,0,0,87,93,90,bba
50,60,50,0,0,0,0,50,53,47,ba_criminology
54,66,54,0,0,0,0,53,55,50,ba_criminology
45,35,40,0,0,0,0,45,42,35,ba_criminology
95,92,0,90,92,94,95,0,0,0,automobile_engineering
98,99,0,96,89,97,99,0,0,0,automobile_engineering
85,87,0,90,85,91,89,0,0,0,automobile_engineering
90,90,0,80,45,100,45,0,0,0,bsc_maths
99,98,0,89,96,97,50,0,0,0,bsc_maths
80,84,0,75,70,95,60,0,0,0,bsc_maths
95,95,79,78,73,90,0,0,0,0,ba_journalism
85,83,85,82,72,82,0,0,0,0,ba_journalism
97,93,82,91,86,77,0,0,0,0,ba_journalism
75,80,0,95,86,70,91,0,0,0,production_and_industrial_engineering
91,82,0,87,90,75,93,0,0,0,production_and_industrial_engineering
82,86,0,97,93,74,99,0,0,0,production_and_industrial_engineering
