Language1,Language2,CompSci,Physics,Chemistry,Maths,Course
95,95,96,92,80,90,computer_engineering
90,90,98,94,90,95,computer_engineering
88,92,100,80,92,99,computer_engineering
50,50,45,94,98,90,mechanical_engineering
35,45,50,90,95,80,mechanical_engineering
60,70,60,92,96,100,mechanical_engineering
95,50,65,80,74,94,water_resources_engineering
50,50,70,77,88,71,water_resources_engineering
35,37,79,87,86,89,water_resources_engineering
55,70,80,81,89,95,water_resources_engineering
55,60,78,82,83,90,water_resources_engineering
39,40,91,89,78,90,naval_architecture_and_ocean_engineering
39,40,89,80,89,89,naval_architecture_and_ocean_engineering
39,40,95,98,94,89,naval_architecture_and_ocean_engineering
98,94,95,93,92,91,marine_engineering
98,94,81,91,78,90,marine_engineering
98,94,80,70,71,81,marine_engineering
87,78,78,91,90,89,electrical_engineering
87,78,69,70,91,80,electrical_engineering
87,78,71,81,79,89,electrical_engineering
68,74,60,75,69,91,electronics_engineering
68,74,57,89,80,90,electronics_engineering
68,74,80,75,79,81,electronics_engineering
59,75,98,68,78,79,civil_engineering
59,75,61,70,79,80,civil_engineering
59,75,80,80,77,71,civil_engineering
90,78,95,62,62,77,environmental_engineering
90,78,89,71,77,80,environmental_engineering
90,78,90,81,79,67,environmental_engineering
95,85,86,69,69,67,industrial_and_production_engineering
95,85,70,71,90,81,industrial_and_production_engineering
95,85,79,89,80,70,industrial_and_production_engineering
86,84,84,85,78,87,industrial_engineering
86,84,71,89,89,90,industrial_engineering
86,84,80,75,81,90,industrial_engineering
84,65,67,94,75,71,engineering_physics
84,65,80,91,70,79,engineering_physics
84,65,71,90,85,80,engineering_physics
95,89,81,91,61,92,instrumentation_engineering
95,89,70,81,81,89,instrumentation_engineering
95,89,89,80,91,85,instrumentation_engineering
84,82,87,85,75,82,marine_engineering
84,82,90,91,80,91,marine_engineering
84,82,71,78,89,81,marine_engineering
82,84,82,68,94,97,mechanical_engineering
82,84,78,79,90,91,mechanical_engineering
82,84,71,70,89,99,mechanical_engineering
83,48,75,64,78,65,metallurgical_engineering
83,48,70,57,82,81,metallurgical_engineering
83,48,71,70,85,79,metallurgical_engineering
84,75,67,77,78,74,naval_architecture_and_ocean_engineering
