Language1,Language2,CompSci,economics,commerce,accountancy,Course
98,93,95,84,95,95,bba
95,98,97,80,99,100,bba
93,94,85,87,93,90,bba
50,60,50,50,53,47,ba_criminology
54,66,54,53,55,50,ba_criminology
45,35,40,45,42,35,ba_criminology
95,85,98,97,99,100,llb 
94,90,88,91,89,95,llb 
90,84,75,88,82,92,llb 
98,98,100,98,98,95,ba_political_science
90,90,90,80,83,85,ba_political_science
95,89,93,88,78,90,ba_political_science
97,95,89,95,95,85,ba_history
90,90,82,90,78,85,ba_history
90,87,83,96,53,70,ba_history
95,97,89,96,96,42,ba_psychology
92,87,90,85,74,65,ba_psychology
90,89,78,68,87,58,ba_psychology
94,99,85,98,97,80,ba_philosophy
94,89,85,92,94,78,ba_philosophy
90,92,85,92,97,70,ba_philosophy
85,96,98,99,91,65,ba_social_work
90,93,91,80,91,76,ba_social_work
89,70,91,89,89,75,ba_social_work
79,94,94,99,85,100,ba_economics
89,94,95,93,87,93,ba_economics
80,80,91,97,85,98,ba_economics
89,78,80,91,82,98,ba_archaeology
80,98,89,100,84,100,ba_archaeology
99,97,77,79,84,90,ba_archaeology
89,94,88,100,87,89,ba_sociology
80,60,89,66,89,71,ba_sociology
80,85,90,91,87,80,ba_sociology
99,97,77,79,84,88,ba_geography
80,60,89,45,89,71,ba_geography
90,70,80,62,89,75,ba_geography
90,97,98,68,82,81,ba_criminology
92,87,89,78,78,75,ba_criminology
80,60,92,70,82,90,ba_criminology
85,54,95,64,75,84,ba_journalism
75,60,70,62,70,84,ba_journalism
80,60,92,61,72,80,ba_journalism
74,86,78,68,71,74,ba_rural_studies
57,51,65,68,78,72,ba_rural_studies
45,45,55,66,45,89,ba_rural_studies
85,95,74,69,76,79,ba_sociology
90,70,70,60,56,66,ba_sociology
95,95,70,67,76,49,ba_sociology
84,94,75,75,78,72,bba
90,90,57,80,90,45,bba
94,90,45,54,56,72,bba
86,45,86,78,74,71,ba_tamil
90,89,75,68,70,71,ba_tamil
96,55,53,69,71,78,ba_tamil
82,96,84,48,88,68,b_com
85,84,82,75,68,84,b_com
98,84,50,75,55,61,b_com
90,50,90,70,79,85,b_com
84,75,83,79,64,74,llb 
90,75,45,50,60,66,llb 
92,70,55,80,64,53,llb 
82,68,64,74,79,75,ba_journalism
87,77,66,57,50,70,ba_journalism
95,70,40,60,61,55,ba_journalism
75,58,78,75,74,68,ba_english
80,70,45,42,43,61,ba_english
90,70,50,42,45,50,ba_english
65,78,71,75,75,48,ba_photography
70,49,50,40,40,50,ba_photography
95,64,55,54,55,61,ba_photography
64,45,75,82,71,81,ba_psychology
90,55,65,51,57,60,ba_psychology
98,45,50,60,55,50,ba_psychology
95,41,78,58,62,76,ba_tamil
98,80,45,45,43,49,ba_tamil
94,70,45,35,35,35,ba_tamil
54,45,74,54,95,74,ba_psychology
79,91,50,50,45,45,ba_psychology
60,80,71,54,67,45,ba_psychology
90,92,45,50,50,52,b_com
98,91,45,57,54,51,b_com
78,61,67,52,62,54,b_com
50,49,62,47,57,50,ba_photography
50,60,70,34,53,48,ba_photography
47,55,58,34,84,51,ba_photography
40,60,55,72,69,55,ba_ancient_history
43,58,50,71,61,50,ba_ancient_history
50,50,50,61,57,40,ba_ancient_history
41,66,66,41,54,39,ba_ancient_history
50,60,47,60,55,51,ba_ancient_indian_culture
50,50,57,60,47,50,ba_ancient_indian_culture
42,64,64,48,53,37,ba_ancient_indian_culture
40,60,57,40,60,55,ba_archaeology
42,41,62,46,57,45,ba_archaeology
40,50,57,50,57,40,ba_archaeology
43,47,57,39,57,55,ba_cinematography
50,40,78,35,65,60,ba_cinematography
41,45,68,35,58,54,ba_cinematography
67,47,39,55,60,50,ba_corporate_secretaryship
50,55,54,45,67,41,ba_corporate_secretaryship
48,39,59,35,69,38,ba_corporate_secretaryship
50,57,51,47,37,65,b_com
45,51,52,50,50,40,b_com
35,38,46,34,42,41,b_com
